id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD044236,C07515,P002,Feb 19 2022,1,13088.15,annulé,Tétouan,carte_bancaire,L045,
CMD044401,C03307,P034,2023-01-22,2,172.84,en_cours,RABAT,virement,L037,
CMD019358,C04496,P023,2023-11-24,5,1405.49,annulé,TANGER,mobile_payment,L008,
CMD036776,C02494,P001,2022-11-12,2,12104.34,livre,Tétouan,mobile_payment,L030,2022-11-18
CMD048364,C02455,P001,Jan 16 2024,2,11147.71,en_cours,Agadir,cash_delivery,L041,
CMD020764,C00492,P006,2023-12-06,5,15245.6,DONE,Rabat,virement,L023,2023-12-12
CMD000041,C05074,P034,2022-07-07,5,152.23,LIVRE,Tnja,cash_delivery,L001,2022-07-11
CMD035266,C06204,P023,2024-02-12,1,1336.68,en_cours,TANGER,mobile_payment,,
CMD035877,C04510,P031,2022-07-23,4,101.81,retourné,Casablanca,mobile_payment,L030,
CMD028552,C02794,P006,Dec 12 2023,2,14024.67,retourné,Tanger,mobile_payment,L031,
CMD000927,C07983,P012,Sep 27 2022,4,1588.93,OK,Agadir,mobile_payment,L030,
CMD041746,C05647,P008,2022-01-17,1,12002.66,annulé,Meknès,cash_delivery,L044,
CMD007412,C06542,P001,23/02/2022,4,11364.73,retourné,casa,virement,L020,
CMD012423,C00545,P028,20/08/2022,4,443.84,en_cours,fes,virement,L037,
CMD029194,C06315,P011,04/07/2024,4,2575.87,livre,Marrakech,carte_bancaire,L007,2024-07-09
CMD015094,C01482,P025,2024-05-21,1,1122.87,en_cours,TANGER,cash_delivery,L017,
CMD028192,C04149,P023,2024-09-23,3,1241.45,retourné,Tanger,carte_bancaire,L036,
CMD030746,C06615,P022,20/05/2022,2,2709.85,DONE,RABAT,carte_bancaire,L048,2022-05-25
CMD015082,C02149,P009,Jul 17 2023,1,13620.91,en_cours,casa,cash_delivery,L005,
CMD044694,C03664,P028,Dec 30 2024,5,349.22,en_cours,Marrakech,virement,L013,
CMD027188,C06849,P025,2024-02-12,1,931.54,retourné,Casablanca,cash_delivery,L023,
CMD032069,C04909,P027,17/04/2022,3,261.91,en_cours,Meknès,carte_bancaire,L020,
CMD005875,C05622,P006,Jul 13 2024,1,14281.7,retourné,Agadir,virement,L042,
CMD024268,C05824,P027,09/07/2022,5,222.15,en_cours,Fès,virement,L029,
CMD022582,C04723,P033,Dec 21 2024,5,136.12,OK,Tétouan,mobile_payment,L004,
CMD028069,C01715,P010,Aug 07 2024,1,9245.08,annulé,Tanger,carte_bancaire,L049,
CMD017027,C03419,P009,2024-02-15,4,12754.19,annulé,Meknès,mobile_payment,L002,
CMD031638,C01143,P025,Nov 25 2024,1,908.25,OK,casa,cash_delivery,L009,
CMD010956,C03127,P016,Dec 30 2022,4,7269.94,retourné,Meknès,virement,L045,
CMD005349,C05689,P018,17/03/2024,2,832.29,livré,Tanger,virement,L014,2024-03-21
CMD012636,C05343,P024,10/07/2022,5,1328.73,livré,RABAT,cash_delivery,L014,2022-07-15
CMD038254,C07640,P018,Jan 04 2024,4,682.68,OK,Oujda,virement,L020,
CMD011100,C04208,P013,28/02/2024,2,0.0,LIVRE,TANGER,carte_bancaire,L007,2024-03-04
CMD011036,C06555,P031,2023-07-19,1,101.3,livré,mkch,virement,L022,2023-07-22
CMD049650,C03504,P016,2024-01-03,2,6826.39,livré,RABAT,carte_bancaire,L046,2024-01-08
CMD041621,C05937,P030,20/06/2024,4,163.94,livré,Tnja,cash_delivery,L047,2024-06-27
CMD045518,C04608,P010,2023-04-20,3,10151.14,livre,Marrakech,carte_bancaire,L016,2023-04-24
CMD018671,C07359,P012,02/12/2024,2,1401.87,livre,Rabat,virement,L044,2024-12-06
CMD006144,C06121,P027,2024-03-05,5,273.09,annule,tanger,carte_bancaire,L007,
CMD016611,C05549,P027,17/05/2022,1,228.76,LIVRE,Meknès,cash_delivery,L049,2022-05-22
CMD049899,C02296,P014,2022-07-21,3,425.48,annulé,tanger,carte_bancaire,L049,
CMD025265,C02826,P022,2023-09-17,5,2264.88,OK,Tnja,mobile_payment,L033,
CMD047421,C02110,P023,2022-01-28,2,1403.85,retourne,Fès,cash_delivery,L016,
CMD006182,C02031,P010,2023-08-30,5,9415.89,OK,Tétouan,mobile_payment,L014,
CMD015841,C03293,P006,08/09/2022,5,13997.42,annule,Agadir,carte_bancaire,L041,
CMD018296,C07987,P001,2024-06-26,4,12781.34,livre,Kénitra,cash_delivery,L021,2024-07-03
CMD000880,C02121,P005,2022-09-14,5,8625.83,DONE,CASA,carte_bancaire,L041,2022-09-15
CMD023851,C07213,P007,May 10 2024,3,12269.68,en_cours,Meknès,mobile_payment,L017,
CMD034534,C01184,P025,08/07/2024,3,869.81,livré,Marrakech,virement,L001,2024-07-12
CMD004977,C00158,P006,Apr 19 2023,5,15620.81,en_cours,Kénitra,carte_bancaire,L027,
CMD029475,C04448,P035,Feb 17 2024,5,114.31,retourné,CASA,mobile_payment,L008,
CMD010176,C01630,P016,24/08/2022,1,7822.01,en_cours,rbt,carte_bancaire,L001,
CMD044093,C02177,P013,10/01/2024,3,820.36,LIVRE,Meknès,virement,L031,2024-01-17
CMD021274,C03095,P034,29/06/2023,1,158.19,livre,Oujda,virement,L047,2023-07-03
CMD038505,C05820,P007,09/11/2022,4,12702.46,retourne,Kénitra,carte_bancaire,L041,
CMD007525,C07476,P013,2023-12-11,2,876.18,en_cours,Kénitra,mobile_payment,L044,
CMD024522,C03772,P023,Mar 03 2022,3,1388.93,en_cours,Tanger,cash_delivery,L021,
CMD030786,C06890,P035,12/05/2024,2,102.91,retourné,Meknès,carte_bancaire,L033,
CMD049147,C03853,P027,2024-06-02,2,243.76,annulé,Marrakech,virement,L010,
CMD020483,C06063,P013,2023-03-16,5,1004.52,en_cours,Agadir,cash_delivery,,
CMD023806,C00243,P020,Nov 12 2023,2,495.16,retourné,Meknès,virement,L008,
CMD031297,C02896,P002,10/12/2024,3,11896.9,en_cours,mkch,cash_delivery,L023,
CMD026478,C03756,P008,Jun 04 2024,3,13291.76,livré,Agadir,carte_bancaire,L018,2024-06-05
CMD003155,C03684,P024,04/06/2022,5,1461.12,annulé,Kénitra,carte_bancaire,L006,
CMD028062,C02698,P011,12/10/2022,1,2573.0,en_cours,Casablanca,mobile_payment,L019,
CMD043997,C05323,P007,2024-02-08,4,14181.98,LIVRE,Fès,carte_bancaire,L045,2024-02-12
CMD008781,C03353,P003,21/08/2022,2,8811.59,annulé,Oujda,carte_bancaire,L040,
CMD028239,C02863,P034,12/02/2023,2,183.23,annule,Agadir,virement,L017,
CMD008225,C02803,P011,Sep 20 2023,3,3123.17,DONE,Rabat,cash_delivery,L034,2023-09-22
CMD016285,C03111,P020,30/09/2022,2,515.23,en_cours,Casablanca,carte_bancaire,L015,
CMD001006,C06284,P018,05/09/2022,2,830.9,en_cours,Tanger,mobile_payment,,
CMD019028,C05405,P026,2024-07-24,5,342.06,en_cours,Tétouan,virement,L025,
CMD038881,C02796,P034,May 08 2023,1,191.81,annule,rbt,cash_delivery,L012,
CMD046226,C06919,P013,06/04/2022,5,900.17,retourné,RABAT,virement,L018,
CMD016574,C05419,P003,21/08/2023,2,8684.54,en_cours,Rabat,carte_bancaire,L001,
CMD003420,C05823,P010,Jun 16 2023,5,9690.49,en_cours,CASA,carte_bancaire,L032,
CMD029664,C01921,P011,2022-10-02,4,3251.82,livré,Fès,carte_bancaire,L018,2022-10-05
CMD034393,C03304,P023,13/06/2023,4,1208.65,retourne,Marrakech,carte_bancaire,L036,
CMD010414,C03643,P018,16/02/2024,1,882.34,retourné,Meknès,mobile_payment,L003,
CMD031987,C04391,P012,Jun 04 2023,2,1403.73,retourné,Agadir,cash_delivery,,
CMD035014,C07562,P004,05/02/2023,4,7092.61,annulé,Fès,virement,L001,
CMD043522,C05512,P026,Nov 28 2022,3,270.46,livré,Fès,cash_delivery,L005,2022-12-04
CMD031442,C04676,P013,2023-01-26,1,786.22,annulé,Meknès,mobile_payment,L041,
CMD003699,C03284,P002,13/09/2024,1,10389.19,livré,RABAT,mobile_payment,L025,2024-09-17
CMD000682,C00122,P035,2024-01-31,1,129.23,annulé,Tanger,virement,L016,
CMD037317,C00113,P032,2023-05-28,1,88.57,en_cours,Agadir,virement,L048,
CMD035470,C00135,P011,10/06/2022,5,2912.79,livré,Rabat,mobile_payment,L032,2022-06-17
CMD033628,C04477,P022,2022-12-18,2,2395.03,livré,Fès,carte_bancaire,L028,2022-12-25
CMD011209,C06388,P021,Jun 05 2022,5,535.93,LIVRE,Tétouan,carte_bancaire,L023,2022-06-07
CMD022965,C05871,P029,Jun 21 2024,5,181.77,livre,Agadir,mobile_payment,L031,2024-06-22
CMD013054,C02460,P014,2022-07-02,5,425.08,annule,Rabat,cash_delivery,L026,
CMD005035,C07197,P005,15/08/2022,2,11130.85,annulé,Meknès,mobile_payment,L007,
CMD049574,C00387,P021,18/09/2022,2,622.61,annulé,mkch,mobile_payment,L021,
CMD004615,C01565,P003,15/08/2024,5,8043.3,retourne,mkch,mobile_payment,L040,
CMD027298,C04146,P017,Jul 12 2022,4,862.09,annulé,Rabat,carte_bancaire,L015,
CMD007278,C07663,P029,2022-05-17,5,216.93,en_cours,Fès,mobile_payment,L023,
CMD039499,C05689,P033,May 15 2023,1,130.91,annulé,Tétouan,cash_delivery,L035,
CMD012929,C03417,P003,May 17 2024,-1,8698.68,livré,Tétouan,virement,,2024-05-19
CMD006546,C05132,P025,Jul 11 2022,4,850.4,retourné,Kénitra,cash_delivery,L010,
CMD008571,C07341,P020,17/06/2024,4,512.95,livré,Tnja,cash_delivery,L028,2024-06-24
CMD040100,C02435,P029,14/11/2022,1,183.74,annule,Fès,cash_delivery,L010,
CMD034913,C03874,P034,07/10/2024,1,181.24,KO,Tanger,cash_delivery,L026,
CMD043805,C06317,P002,Jun 25 2023,1,12673.18,retourné,Kénitra,virement,L029,
CMD026591,C07694,P012,Feb 17 2024,4,1377.18,annulé,Tnja,cash_delivery,L002,
CMD030053,C04313,P023,22/02/2022,3,1114.95,retourné,Agadir,carte_bancaire,L044,
CMD015527,C03687,P020,08/02/2024,2,428.36,retourne,rbt,mobile_payment,L047,
CMD048662,C00973,P031,Feb 19 2024,3,83.62,retourné,Oujda,virement,L039,
CMD004519,C00158,P028,09/04/2022,3,383.87,livré,mkch,cash_delivery,L033,2022-04-13
CMD034144,C07214,P035,12/09/2022,1,135.84,annulé,Tétouan,mobile_payment,L028,
CMD033518,C00117,P025,2022-07-19,4,997.58,LIVRE,TANGER,virement,L037,2022-07-25
CMD030613,C00731,P029,19/05/2022,3,208.65,annulé,Oujda,mobile_payment,L028,
CMD047656,C01027,P005,2022-09-20,4,10624.98,annulé,Fès,cash_delivery,,
CMD048274,C03957,P024,2023-11-15,2,1473.96,OK,CASA,carte_bancaire,L045,
CMD031250,C07380,P033,06/08/2022,4,121.24,annulé,Marrakech,cash_delivery,L020,
CMD018467,C02169,P029,25/02/2022,3,192.16,livré,rbt,mobile_payment,L005,2022-03-04
CMD026413,C03233,P029,25/02/2022,2,228.24,annulé,Agadir,mobile_payment,L044,
CMD039649,C02828,P020,Jan 07 2022,4,465.55,LIVRE,Casablanca,cash_delivery,L019,2022-01-14
CMD047715,C06490,P003,10/02/2022,1,8248.98,annulé,Agadir,carte_bancaire,L033,
CMD006657,C03635,P024,2022-04-22,2,1155.68,DONE,TANGER,carte_bancaire,L040,2022-04-27
CMD018607,C04018,P017,2023-02-17,4,943.14,DONE,Tanger,mobile_payment,L044,2023-02-24
CMD032694,C06090,P002,22/09/2023,5,11058.2,livré,RABAT,mobile_payment,,2023-09-26
CMD020833,C01179,P015,04/08/2024,2,9113.27,en_cours,Fès,mobile_payment,L031,
CMD024610,C05274,P020,2024-06-30,3,433.56,livre,TANGER,virement,L019,2024-07-06
CMD012476,C00866,P028,2024-11-11,1,382.41,LIVRE,Fès,cash_delivery,L036,2024-11-14
CMD028421,C01653,P027,2023-01-12,2,223.36,en_cours,Marrakech,mobile_payment,L008,
CMD043077,C04728,P024,23/09/2024,1,1168.27,DONE,Casablanca,carte_bancaire,L014,2024-09-27
CMD020140,C06594,P029,Jan 31 2023,2,220.62,en_cours,Oujda,carte_bancaire,L050,
CMD039722,C01590,P033,22/01/2022,4,131.54,KO,Tétouan,virement,L035,
CMD031374,C01738,P032,2023-08-30,5,83.03,KO,Rabat,mobile_payment,L037,
CMD000544,C03522,P020,2022-12-04,1,499.29,LIVRE,Meknès,virement,L041,2022-12-10
CMD014239,C07616,P032,2023-08-13,3,83.12,LIVRE,Oujda,mobile_payment,L035,2023-08-19
CMD004247,C03769,P032,2022-01-03,5,78.29,en_cours,fes,carte_bancaire,L047,
CMD010076,C02734,P009,2023-11-15,3,12139.34,annulé,Meknès,cash_delivery,L044,
CMD012482,C04327,P020,26/05/2022,2,471.05,annule,tanger,carte_bancaire,L009,
CMD034549,C02623,P020,Sep 05 2022,5,502.97,annulé,Fès,carte_bancaire,L001,
CMD038908,C04081,P018,Apr 23 2022,2,887.78,retourné,Fès,mobile_payment,,
CMD012702,C03506,P010,2023-05-28,3,8361.71,annulé,fes,carte_bancaire,L017,
CMD036717,C06866,P024,Apr 08 2024,3,1185.21,LIVRE,Meknès,carte_bancaire,L004,2024-04-14
CMD023519,C07558,P027,2024-06-14,3,261.93,retourne,Casablanca,virement,L009,
CMD036651,C01388,P003,Feb 04 2024,5,8340.0,retourné,Marrakech,mobile_payment,L038,
CMD008322,C03363,P004,Aug 29 2022,2,6953.55,livré,Fès,mobile_payment,L047,2022-09-03
CMD048654,C01615,P012,May 03 2024,1,1434.56,OK,Tétouan,carte_bancaire,L039,
CMD018598,C00893,P030,28/11/2023,3,154.36,LIVRE,Kénitra,virement,L014,2023-12-04
CMD031941,C06709,P014,Oct 29 2023,2,341.09,en_cours,Kénitra,cash_delivery,L011,
CMD013414,C06838,P031,2024-09-06,1,89.28,OK,tanger,carte_bancaire,L034,
CMD003886,C04402,P012,2024-06-21,4,1587.61,livré,Kénitra,carte_bancaire,L045,2024-06-26
CMD042569,C06095,P033,2023-06-04,4,122.63,retourne,Meknès,mobile_payment,L017,
CMD030490,C01060,P035,08/08/2024,1,130.47,KO,CASA,mobile_payment,L043,
CMD017396,C01593,P008,Sep 16 2023,4,13766.11,retourné,Fès,cash_delivery,L001,
CMD046552,C07767,P017,2023-09-08,3,873.52,livré,casa,carte_bancaire,L040,2023-09-15
CMD035243,C04565,P005,2024-09-04,3,9179.88,en_cours,Fès,carte_bancaire,,
CMD020263,C06916,P003,2023-08-08,4,8936.37,en_cours,Oujda,mobile_payment,L018,
CMD032423,C00424,P031,2024-08-11,4,95.22,livré,Tanger,mobile_payment,L027,2024-08-17
CMD041452,C02335,P001,18/11/2022,5,11529.67,livré,Tétouan,mobile_payment,L040,2022-11-24
CMD014830,C05916,P013,2022-12-08,4,973.12,retourné,tanger,mobile_payment,,
CMD009009,C02850,P007,29/07/2022,2,15186.81,annulé,Kénitra,cash_delivery,L025,
CMD011500,C05891,P015,03/10/2024,4,7718.91,livré,Kénitra,mobile_payment,L044,2024-10-10
CMD032006,C02335,P019,27/11/2022,3,374.52,livré,Agadir,virement,L006,2022-11-29
CMD029113,C06635,P010,Jun 28 2024,2,7754.6,LIVRE,TNG,virement,,2024-07-01
CMD006586,C03003,P001,2022-11-11,3,11525.03,en_cours,RABAT,mobile_payment,L019,
CMD001591,C01141,P022,2022-11-07,2,2569.15,LIVRE,Marrakech,cash_delivery,L020,2022-11-11
CMD018394,C05563,P031,2023-03-03,3,0.0,DONE,TNG,mobile_payment,L003,2023-03-08
CMD029708,C07678,P005,15/08/2023,5,8595.54,en_cours,casa,virement,L028,
CMD041931,C04507,P004,Nov 06 2024,2,6621.76,annule,Marrakech,virement,L013,
CMD042037,C06655,P005,2023-09-28,2,11026.66,retourné,rbt,carte_bancaire,L022,
CMD026671,C00426,P025,2023-09-16,4,967.23,livré,Casablanca,cash_delivery,L038,2023-09-19
CMD007837,C01398,P024,Nov 22 2024,1,1274.47,annule,CASA,carte_bancaire,L035,
CMD018787,C02842,P026,May 12 2023,3,279.69,retourne,fes,cash_delivery,L032,
CMD018556,C00705,P028,Jun 10 2023,5,340.83,LIVRE,rbt,mobile_payment,L017,2023-06-17
CMD046830,C02410,P014,Feb 03 2024,5,388.73,LIVRE,TANGER,mobile_payment,L041,2024-02-06
CMD035715,C06123,P014,17/07/2022,3,382.19,en_cours,Tnja,carte_bancaire,L007,
CMD043651,C07785,P031,Apr 21 2024,4,80.0,annule,Kénitra,cash_delivery,L047,
CMD009849,C00966,P032,2023-12-29,1,80.73,annulé,Kénitra,cash_delivery,L038,
CMD049734,C03292,P031,2024-05-14,1,88.34,livré,mkch,carte_bancaire,L014,2024-05-21
CMD002136,C02574,P015,Sep 11 2022,1,9556.02,annulé,Agadir,carte_bancaire,L022,
CMD012933,C02177,P035,09/02/2024,2,126.6,annulé,rbt,virement,L006,
CMD044362,C06587,P018,10/12/2024,1,826.61,retourné,mkch,mobile_payment,,
CMD035247,C05708,P021,2022-05-11,3,610.72,DONE,Tétouan,carte_bancaire,L027,2022-05-17
CMD045564,C00300,P019,2024-01-06,1,307.27,LIVRE,Agadir,cash_delivery,L009,2024-01-12
CMD026449,C05510,P004,2022-09-17,1,6165.69,annulé,Oujda,carte_bancaire,L037,
CMD017499,C05156,P018,2022-02-11,1,749.31,livré,casa,mobile_payment,L006,2022-02-18
CMD024478,C04355,P021,Sep 01 2023,4,555.66,retourné,Meknès,mobile_payment,L046,
CMD002673,C03819,P028,2024-09-07,1,345.72,retourné,Meknès,mobile_payment,,
CMD030914,C03463,P026,2024-02-26,2,282.43,KO,Marrakech,carte_bancaire,L042,
CMD004092,C00134,P019,Nov 07 2024,4,325.89,livré,Agadir,cash_delivery,L032,2024-11-13
CMD028609,C01567,P028,25/08/2022,3,379.68,livré,Agadir,cash_delivery,L015,2022-08-29
CMD030325,C07935,P007,2023-09-27,5,13553.63,livré,Kénitra,cash_delivery,L006,2023-09-29
CMD003086,C00317,P027,22/01/2023,6,257.16,retourné,mkch,mobile_payment,L024,
CMD025506,C01285,P031,Jun 06 2023,2,88.35,en_cours,Tnja,carte_bancaire,L008,
CMD003026,C00126,P014,Mar 13 2022,2,357.89,livré,Oujda,cash_delivery,L005,2022-03-20
CMD012378,C06057,P016,13/07/2022,5,7896.33,DONE,Tanger,carte_bancaire,L048,2022-07-15
CMD045218,C01871,P017,15/07/2024,1,897.66,KO,TNG,cash_delivery,L008,
CMD043052,C02171,P025,Jul 06 2024,2,974.61,en_cours,Rabat,virement,L002,
CMD038791,C04797,P016,Oct 08 2023,5,7951.84,LIVRE,mkch,virement,L022,2023-10-11
CMD018127,C00070,P009,Nov 20 2024,2,13532.29,livre,Meknès,mobile_payment,L048,2024-11-21
CMD005090,C04544,P024,24/08/2022,-1,1404.53,annule,Fès,carte_bancaire,L022,
CMD010811,C07219,P031,2024-08-12,1,79.41,retourné,Casablanca,carte_bancaire,L033,
CMD024413,C06245,P025,09/05/2022,-3,910.9,retourné,rbt,cash_delivery,L040,
CMD019328,C06592,P035,23/11/2022,3,108.06,en_cours,Meknès,cash_delivery,,
CMD010207,C01730,P024,12/05/2022,3,1106.43,annulé,Fès,mobile_payment,L004,
CMD032872,C03014,P023,Dec 18 2024,5,1291.53,annulé,Rabat,virement,L040,
CMD000200,C03378,P017,Aug 19 2022,2,844.69,retourné,Agadir,cash_delivery,L044,
CMD002639,C04434,P017,Dec 20 2022,3,806.48,retourne,Marrakech,carte_bancaire,L043,
CMD033471,C04240,P019,2023-08-23,4,0.0,OK,Tétouan,mobile_payment,L049,
CMD019342,C00208,P002,18/10/2024,2,10428.94,OK,Marrakech,cash_delivery,L024,
CMD011154,C04635,P010,Sep 04 2022,5,9972.41,livre,Marrakech,mobile_payment,L020,2022-09-07
CMD045411,C05407,P035,2022-02-09,1,136.79,retourné,Fès,virement,L018,
CMD031801,C00511,P004,15/10/2023,2,6157.34,annulé,Casablanca,carte_bancaire,L048,
CMD042170,C03184,P006,2024-08-28,1,14197.26,en_cours,Fès,carte_bancaire,L028,
CMD048637,C00592,P003,Apr 18 2023,2,7365.77,livré,Tétouan,cash_delivery,L050,2023-04-23
CMD001165,C03142,P002,07/10/2023,2,10503.81,DONE,Agadir,cash_delivery,,2023-10-11
CMD011807,C01437,P028,2023-06-09,4,434.49,livré,CASA,carte_bancaire,L001,2023-06-10
CMD009802,C02993,P011,05/08/2023,5,2761.11,retourné,Tanger,mobile_payment,L040,
CMD047952,C03951,P030,2024-01-31,3,159.25,en_cours,TNG,carte_bancaire,L021,
CMD025127,C01763,P001,2023-12-25,3,14913.13,retourne,Tétouan,cash_delivery,L048,
CMD015618,C04636,P015,2024-03-28,4,8490.54,OK,Kénitra,carte_bancaire,L040,
CMD005771,C04293,P012,2023-11-25,2,1594.21,retourne,Tanger,virement,L020,
CMD008789,C00333,P021,26/10/2023,1,600.79,livré,Marrakech,virement,,2023-11-01
CMD009857,C07635,P010,2024-08-27,2,9337.75,livre,fes,mobile_payment,L027,2024-08-31
CMD045217,C06086,P026,2022-12-05,1,284.22,annulé,Oujda,cash_delivery,L024,
CMD031843,C04288,P033,2024-12-03,4,128.86,OK,Tétouan,mobile_payment,L014,
CMD034291,C05898,P020,Jan 05 2022,1,428.81,retourné,tanger,carte_bancaire,L003,
CMD028817,C06887,P035,Feb 27 2022,2,122.02,livré,Oujda,virement,L050,2022-03-05
CMD027503,C06319,P011,21/06/2022,3,3320.1,en_cours,Oujda,cash_delivery,L040,
CMD043572,C03389,P015,16/01/2024,3,9088.85,annulé,RABAT,mobile_payment,L023,
CMD032074,C00134,P013,Oct 17 2022,5,991.35,livré,Kénitra,cash_delivery,L016,2022-10-24
CMD026370,C05885,P034,01/05/2023,4,174.03,DONE,Kénitra,virement,L019,2023-05-08
CMD012131,C05339,P018,Jun 23 2024,1,918.09,annulé,fes,cash_delivery,L001,
CMD022796,C05168,P005,19/01/2022,3,10439.73,DONE,mkch,cash_delivery,L018,2022-01-24
CMD027101,C04342,P023,28/11/2024,3,1104.89,annulé,CASA,cash_delivery,L017,
CMD022240,C00518,P019,Jul 14 2022,5,325.18,livré,Oujda,cash_delivery,L047,2022-07-15
CMD031244,C05813,P004,Dec 18 2022,5,6943.84,annulé,TANGER,virement,L030,
CMD025680,C05571,P016,07/03/2023,2,7981.32,retourné,Oujda,mobile_payment,L011,
CMD021635,C04270,P023,30/09/2022,2,1211.78,retourné,Casablanca,virement,L010,
CMD028714,C02923,P034,Jul 11 2022,4,188.07,livre,RABAT,mobile_payment,,2022-07-16
